Med	Gen	Rep	Perm	FY
10	5	1	17	2.95
10	5	2	18	5.36
10	5	3	19	5.4
10	5	4	20	5.64
10	6	1	21	8.15
10	6	2	22	5.79
10	6	3	23	13.05
10	6	4	24	11.55
10	7	1	25	13.87
10	7	2	26	9.285
10	7	3	27	20.41
10	7	4	28	12.555
10	8	1	29	1.872
10	8	2	30	1.248
10	8	3	31	2.96
10	8	4	32	18.3
10	9	1	33	0.052
10	9	2	34	NA
10	9	3	35	4.995
10	9	4	36	NA
10	10	1	37	4.325
10	10	2	38	4.735
10	10	3	39	8.71
10	10	4	40	13.52
10	11	1	41	27.97
10	11	2	42	14.42
10	11	3	43	10.54
10	11	4	44	33.595
10	12	1	45	2.352
10	12	2	46	10.37
10	12	3	47	2.72
10	12	4	48	9.9
10	13	1	49	19.08
10	13	2	50	31.095
10	13	3	51	35.615
10	13	4	52	49.39
10	14	1	53	2.46
10	14	2	54	16.83
10	14	3	55	40
10	14	4	56	20.36
10	15	1	57	27.94
10	15	2	58	17.08
10	15	3	59	54.09
10	15	4	60	19.71
10	16	1	61	8.54
10	16	2	62	10.335
10	16	3	63	28.21
10	16	4	64	18.51
10	17	1	65	14.336
10	17	2	66	8.53
10	17	3	67	2.268
10	17	4	68	4.1
10	18	1	69	8.56
10	18	2	70	12.705
10	18	3	71	19.84
10	18	4	72	22.18
10	19	1	73	24.48
10	19	2	74	26.93
10	19	3	75	61.46
10	19	4	76	12.295
10	20	1	77	1.582
10	20	2	78	12.945
10	20	3	79	4.7
10	20	4	80	10.03
10	21	1	81	0.26
10	21	2	82	2.112
10	21	3	83	NA
10	21	4	84	NA
10	22	1	85	32.28
10	22	2	86	14.76
10	22	3	87	18.54
10	22	4	88	16.05
10	23	1	89	13.28
10	23	2	90	16.01
10	23	3	91	15.44
10	23	4	92	50.36
10	24	1	93	9.09
10	24	2	94	19.04
10	24	3	95	7.545
10	24	4	96	16.12
11	1	1	1	26.36
11	1	2	2	60.33
11	1	3	3	23.9
11	1	4	4	73.646
11	2	1	5	41.86
11	2	2	6	49.99
11	2	3	7	43.128
11	2	4	8	36.56
